element_num,depth,bounds,attributes,parent_num
31,31,"[0,62][402,789]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500; enabled=true",30
32,32,"[0,62][402,300]","accessibilityText=Go back Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied; enabled=true",31
33,33,"[40,62][72,94]","accessibilityText=Go back; resource-id=back-button; enabled=true",32
34,33,"[40,118][362,300]","accessibilityText=Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied; enabled=true",32
35,34,"[79,142][322,239]","accessibilityText=Rent due in 3 days Complete setup to unlock 1% cashback ₹200 cashback applied; enabled=true",34
36,35,"[152,142][249,159]","accessibilityText=Rent due in 3 days; enabled=true",35
37,35,"[79,167][323,187]","accessibilityText=Complete setup to unlock 1% cashback; enabled=true",35
38,35,"[121,203][280,239]","accessibilityText=₹200 cashback applied; enabled=true",35
39,36,"[133,211][269,231]","accessibilityText=₹200 cashback applied; enabled=true",38
40,34,"[67,271][335,276]","enabled=true",34
41,32,"[66,340][336,601]","accessibilityText=Base rent ₹ 25,000 Maintenance ₹2,500 Total Rent ₹  27,500 Cashback  - ₹  200 Payable Rent ₹  27,500; enabled=true",31
42,33,"[66,340][336,392]","accessibilityText=Base rent ₹ 25,000; enabled=true",41
43,34,"[90,356][312,376]","accessibilityText=Base rent ₹ 25,000; enabled=true",42
44,35,"[90,356][164,376]","accessibilityText=Base rent; enabled=true",43
45,36,"[90,358][106,374]","enabled=true",44
46,37,"[93,360][103,372]","enabled=true",45
47,38,"[93,360][103,372]","enabled=true",46
48,36,"[110,356][164,376]","accessibilityText=Base rent; enabled=true",44
49,35,"[250,356][312,376]","accessibilityText=₹ 25,000; enabled=true",43
50,33,"[66,392][336,444]","accessibilityText=Maintenance ₹2,500; enabled=true",41
51,34,"[90,408][312,428]","accessibilityText=Maintenance ₹2,500; enabled=true",50
52,35,"[90,408][184,428]","accessibilityText=Maintenance; enabled=true",51
53,36,"[90,410][106,426]","enabled=true",52
54,37,"[93,412][103,424]","enabled=true",53
55,38,"[93,412][103,424]","enabled=true",54
56,36,"[110,408][184,428]","accessibilityText=Maintenance; enabled=true",52
57,35,"[263,408][312,428]","accessibilityText=₹2,500; enabled=true",51
58,33,"[90,392][312,392]","enabled=true",41
59,33,"[66,444][336,496]","accessibilityText=Total Rent ₹  27,500; enabled=true",41
60,34,"[90,460][312,480]","accessibilityText=Total Rent ₹  27,500; enabled=true",59
61,35,"[90,460][167,480]","accessibilityText=Total Rent; enabled=true",60
62,36,"[90,462][106,478]","enabled=true",61
63,37,"[93,464][103,476]","enabled=true",62
64,38,"[93,464][103,476]","enabled=true",63
65,36,"[110,460][167,481]","accessibilityText=Total Rent; enabled=true",61
66,35,"[250,460][312,481]","accessibilityText=₹  27,500; enabled=true",60
67,33,"[90,444][312,444]","enabled=true",41
68,33,"[66,496][336,548]","accessibilityText=Cashback  - ₹  200; enabled=true",41
69,34,"[90,512][312,532]","accessibilityText=Cashback  - ₹  200; enabled=true",68
70,35,"[90,512][170,532]","accessibilityText=Cashback ; enabled=true",69
71,36,"[90,514][106,530]","enabled=true",70
72,37,"[93,516][103,528]","enabled=true",71
73,38,"[93,516][103,528]","enabled=true",72
74,36,"[110,512][170,533]","accessibilityText=Cashback ; enabled=true",70
75,35,"[261,512][311,533]","accessibilityText=- ₹  200; enabled=true",69
76,33,"[59,530][73,544]","enabled=true",41
77,33,"[329,530][343,544]","enabled=true",41
78,33,"[66,549][336,601]","accessibilityText=Payable Rent ₹  27,500; enabled=true",41
79,34,"[90,565][312,585]","accessibilityText=Payable Rent ₹  27,500; enabled=true",78
80,35,"[90,565][184,585]","accessibilityText=Payable Rent; enabled=true",79
81,36,"[90,567][106,583]","enabled=true",80
82,37,"[93,569][103,581]","enabled=true",81
83,38,"[93,569][103,581]","enabled=true",82
84,36,"[110,565][185,585]","accessibilityText=Payable Rent; enabled=true",80
85,35,"[249,565][312,585]","accessibilityText=₹  27,500; enabled=true",79
86,33,"[90,548][312,549]","enabled=true",41
87,31,"[0,716][402,746]","accessibilityText=Horizontal scroll bar, 1 page; value=0%; text=0%; enabled=true",30
88,32,"[3,743][396,746]","enabled=true",87
89,31,"[0,716][402,746]","accessibilityText=Horizontal scroll bar, 1 page; value=0%; text=0%; enabled=true",30
90,32,"[3,743][396,746]","enabled=true",89
91,29,"[0,749][402,874]","accessibilityText=Pay ₹27,300 now Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",28
92,30,"[40,749][362,806]","accessibilityText=Pay ₹27,300 now; resource-id=pay-now-button; enabled=true",91
93,30,"[51,822][350,842]","accessibilityText=Pay by 7 Dec to earn ₹ 200 cashback on this payment; enabled=true",91
94,23,"[0,0][402,874]","enabled=true",22
95,24,"[0,0][402,874]","enabled=true",94
96,16,"[0,0][402,874]","enabled=true",15
97,17,"[0,0][402,874]","enabled=true",96
98,8,"[0,0][402,874]","enabled=true",7
99,9,"[0,0][402,874]","enabled=true",98
100,2,"[0,0][402,874]","enabled=true",1
101,3,"[0,0][402,874]","enabled=true",100
102,4,"[0,0][402,874]","enabled=true",101
103,1,"[0,0][0,0]","",0
104,2,"[0,0][402,54]","enabled=true",103
105,2,"[0,0][402,54]","enabled=true",103
106,3,"[0,0][402,54]","enabled=true",105
107,4,"[0,0][402,54]","enabled=true",106
108,5,"[55,22][93,42]","accessibilityText=4:07 AM; enabled=true",107
109,5,"[288,26][307,38]","accessibilityText=Mobile Service; value=No signal; text=No signal; enabled=true",107
110,5,"[315,26][332,38]","value=SSID, 3 of 3 Wi-Fi bars; text=SSID, 3 of 3 Wi-Fi bars; resource-id=3 of 3 Wi-Fi bars; enabled=true",107
111,5,"[339,26][366,39]","accessibilityText=100% battery power; value=Not charging; text=Not charging; enabled=true",107
